File Name,# of MPRs,# of medians by first method,# of medians by second method
./TreeLifeData/COG0367.newick,19834446772224,64,4
./TreeLifeData/COG0368.newick,307200,32,32
./TreeLifeData/COG0369.newick,219240,8,2
./TreeLifeData/COG0370.newick,12288,256,128
./TreeLifeData/COG0371.newick,46080,128,32
./TreeLifeData/COG0372.newick,555536351232,512,64
./TreeLifeData/COG0373.newick,98368,4,4
./TreeLifeData/COG0374.newick,4608,64,16
./TreeLifeData/COG0375.newick,768,64,8
./TreeLifeData/COG0376.newick,18624,4,1
./TreeLifeData/COG0377.newick,75497472,16384,512
./TreeLifeData/COG0378.newick,19850112,16,4
./TreeLifeData/COG0379.newick,2464128,64,8
./TreeLifeData/COG0380.newick,13824,128,32
./TreeLifeData/COG0381.newick,68124672,256,32
./TreeLifeData/COG0382.newick,1664,32,8
./TreeLifeData/COG0383.newick,6912,64,16
./TreeLifeData/COG0384.newick,2020737024,1024,64
./TreeLifeData/COG0385.newick,150278602752,32768,128
./TreeLifeData/COG0386.newick,154112606208,128,8
./TreeLifeData/COG0387.newick,21952,4,4
./TreeLifeData/COG0388.newick,2,2,2
./TreeLifeData/COG0389.newick,270005542060032,8,8
./TreeLifeData/COG0390.newick,192,32,16
./TreeLifeData/COG0391.newick,70848,16,4
./TreeLifeData/COG0392.newick,6080256,512,128
./TreeLifeData/COG0393.newick,40370176,128,64
./TreeLifeData/COG0394.newick,103946806886400,16384,128
./TreeLifeData/COG0395.newick,16,8,4
./TreeLifeData/COG0396.newick,1435576320,128,16
./TreeLifeData/COG0397.newick,18720,8,1
./TreeLifeData/COG0398.newick,70168619008,2,1
./TreeLifeData/COG0399.newick,2893253138111161958400,33554432,262144
./TreeLifeData/COG0400.newick,34564608,64,32
./TreeLifeData/COG0401.newick,36,4,2
./TreeLifeData/COG0402.newick,508256411177189376,384,16
./TreeLifeData/COG0403.newick,350208,512,64
./TreeLifeData/COG0404.newick,132457028928,8,4
./TreeLifeData/COG0405.newick,88104247492608,64,8
./TreeLifeData/COG0406.newick,11776,1024,128
./TreeLifeData/COG0407.newick,290304,24,32
